Libellé produit,Univers,Nature,Couleurs détectées,Dimensions,embedding,sim_univers,sim_nature,univers_suspect,nature_suspect,Univers suggéré,sim_uni_best,Nature suggérée,sim_nat_best
etagere placard superposable 47 cm metaltex module pliable,Canapé Salon Séjour,Buffet,,['47 cm'],"[-0.00055232  0.01295113  0.04050915 ... -0.00044407  0.04083987
  0.00256703]",0.22074285,0.13851437,False,True,Canapé Salon Séjour,0.4322061836719513,Rangement a poser,0.5996546149253845
rideau a oeillets infroissable alix 135 x 250 cm gris,Décoration Textile,Rideau,['gris'],"['135 x 250 cm', '250 cm']","[ 0.0129065  -0.02535264  0.04752942 ... -0.01329087  0.06013683
  0.03820683]",0.26278284,0.4659897,False,False,Décoration Textile,0.26278284192085266,Rideau,0.492171972990036
machine a coudre singer surjeteuse 14sh654,Petit Electroménager,Machine a coudre,,,"[ 0.04124154  0.0275368  -0.02446887 ... -0.02494469  0.02311954
 -0.01907982]",0.02572433,0.54240096,True,False,Décoration Textile,0.14401571452617645,Machine a coudre,0.5424009561538696
lit superpose 4 personnes 140 190cm metal noir,Enfant Bébé,Lit jeune,['noir'],['190cm'],"[-0.01564441  0.00750834 -0.0096196  ...  0.01318884 -0.01987345
  0.00073838]",0.15336245,0.3759863,False,False,Enfant Bébé,0.39392536878585815,Lit jeune,0.5037314891815186
vaisselier argentier contemporain ch beton clair bali,Canapé Salon Séjour,Vitrine,,,"[ 0.05878825 -0.02895389  0.03456292 ...  0.00329639  0.05991231
 -0.00785944]",0.21423742,0.29022366,False,False,Canapé Salon Séjour,0.3047446608543396,Vitrine,0.406155526638031
refrigerateur table top candy cctos542w,Gros Electroménager,Refrigerateur,,,[0.07382772 0.02324373 0.02510837 ... 0.06907826 0.05289039 0.01275315],0.21665423,0.60142887,False,False,Gros Electroménager,0.2822630703449249,Refrigerateur,0.6014288663864136
chaise jardin bois traite gardiun vika adirondack top resistantt 91x71 6x92 5 cm,Cuisine Salle de bain,Ens table chaises,,"['91x71', '5 cm']","[ 0.05457778 -0.04938117 -0.01072355 ... -0.0033499   0.01452273
  0.00587463]",0.121617444,0.5393752,False,False,Cuisine Salle de bain,0.3093062937259674,Ens table chaises,0.5393751859664917
arbre lumineux 48 fleurs led roses,Décoration Textile,Decoration de noel,['rose'],,"[ 0.05012789 -0.04063857  0.00290565 ...  0.03462244  0.01464286
  0.01090137]",0.061363757,0.20375116,True,False,Décoration Textile,0.14636099338531494,Decoration de noel,0.44641631841659546
five poubelle metal 30 litres ariane coloris inox,Cuisine Salle de bain,Poubelle cuisine,,,"[-0.01126717 -0.00221056  0.0551174  ... -0.02921749  0.02203702
  0.05237706]",0.21108192,0.49276614,False,False,Cuisine Salle de bain,0.21108192205429077,Poubelle cuisine,0.4927661418914795
table appoint design tripod,Canapé Salon Séjour,Table basse,,,"[ 5.6138810e-02  1.8661249e-02 -1.5975000e-02 ...  4.2658236e-02
 -5.1537507e-05 -4.0851260e-04]",0.2235296,0.5483587,False,False,Canapé Salon Séjour,0.3366100788116455,Table basse,0.5802838802337646
plaid microfibre 180 x 230 cm taupe,Décoration Textile,Plaid,['beige'],"['180 x 230 cm', '230 cm']","[ 0.0122769   0.00746937  0.04841715 ... -0.05322303 -0.02528123
  0.00183288]",0.3309059,0.6151514,False,False,Décoration Textile,0.3309059143066406,Plaid,0.6151514053344727
recharges simplee multipack x6 sangenic,Enfant Bébé,Poubelle à couches,,,"[ 0.01545781  0.01227121 -0.00286059 ...  0.06704903 -0.01238514
  0.05365899]",0.03725531,0.15030603,True,True,Enfant Bébé,0.1095275804400444,Pile et accumulateur,0.4300509989261627
mosaic table mosaic 4 chaises gris,Canapé Salon Séjour,Table,['gris'],,"[ 0.04849219 -0.04808934  0.01477623 ...  0.00271378  0.00185425
 -0.00559584]",0.2895856,0.39947996,False,False,Canapé Salon Séjour,0.28958559036254883,Table,0.5805349349975586
safety 1st poussette a positions multiples rainbow noir 1131666000,Enfant Bébé,Poussette,['noir'],,"[-0.02620594  0.01384496 -0.02854246 ...  0.02564076  0.02451387
  0.00575808]",0.16048989,0.35853833,False,False,Enfant Bébé,0.16102612018585205,Poussette,0.3719218075275421
minea matelas baby minea kit complet 70x140 cm,Chambre Literie,Matelas,,['70x140 cm'],"[-0.07504495  0.01346549  0.02022447 ... -0.0082289  -0.04070668
  0.00680859]",0.4283176,0.5482793,False,False,Chambre Literie,0.4283176064491272,Matelas,0.5738264322280884
lave vaisselle largeur 60 cm candy cdpn2d522px,Gros Electroménager,Lave vaisselle,,['60 cm'],"[ 0.03864533  0.00231675  0.01569017 ... -0.00589953  0.01194526
  0.01925978]",0.21346629,0.500667,False,False,Gros Electroménager,0.42345088720321655,Lave vaisselle,0.5006669759750366
menagere 24 pieces,Décoration Textile,Menagere couvert,,,"[ 0.05143257  0.03037545  0.06527415 ... -0.00329523  0.00564187
 -0.01312316]",0.25529212,0.20978974,False,False,Décoration Textile,0.3611387014389038,Menagere couvert,0.427536278963089
linea canape angle droit convertible scandinave 252 x p 190cm couleur gris fonce,Canapé Salon Séjour,Canapé d'angle,['gris'],['190cm'],"[ 0.01749771  0.01763328  0.01330279 ... -0.00145973  0.03278614
 -0.01560448]",0.41992572,0.5448303,False,False,Canapé Salon Séjour,0.419925719499588,Canapé d'angle,0.544830322265625
protege matelas impermeable bouclette 140 x 200 cm blanc,Chambre Literie,Protege matelas,['blanc'],"['140 x 200 cm', '200 cm']","[-0.04068887 -0.00798655  0.02271963 ... -0.03550168 -0.02129757
 -0.00733341]",0.40144145,0.709484,False,False,Chambre Literie,0.40144145488739014,Protege matelas,0.7094839811325073
paris prix lot 4 chaises design ka us 95cm noir,Canapé Salon Séjour,Chaise,['noir'],['95cm'],"[ 0.05444326 -0.07002573  0.00571936 ... -0.0057801  -0.00499954
 -0.03910201]",0.33671796,0.5466974,False,False,Canapé Salon Séjour,0.33671796321868896,Chaise,0.5603547692298889
matelas 80x220 matelas matelas cher mousse confortable housse lavable matelas nuit incomparable epaisseur 15 cm,Bureau Rangement,Meuble à chaussures,,"['80x220', '15 cm']","[-0.02099981  0.01925188 -0.01494106 ... -0.01179763 -0.02720894
  0.0276334 ]",0.19093853,0.29122943,False,False,Bureau Rangement,0.46270400285720825,Meuble à chaussures,0.6019870042800903
sommier essentiel 200x200cm gris resistant confortable lattes peuplier montage rapide facile,Chambre Literie,Sommier,['gris'],['200x200cm'],"[ 0.03939863 -0.00325449  0.01634514 ... -0.01143254  0.00030227
  0.01650873]",0.37355125,0.43033236,False,False,Chambre Literie,0.37355124950408936,Sommier,0.5220026969909668
kakemono oiseaux tropicaux 60 x 80cm multicolore,Décoration Textile,Toile et laminage,,"['60 x 80cm', '80cm']","[ 0.00926089  0.02199695 -0.03293078 ... -0.06196482  0.01738321
  0.00591318]",0.22138014,0.16143696,False,True,Décoration Textile,0.22138014435768127,Voile d'ombrage,0.3436529040336609
vidaxl bureau blanc 100 x 50 x 76 cm agglomere,Bureau Rangement,Bureau,['blanc'],"['100 x 50', '76 cm']","[ 0.00129052  0.00119787  0.04923567 ...  0.01814711  0.02789264
 -0.00397143]",0.4159603,0.44576907,False,False,Bureau Rangement,0.41596031188964844,Bureau,0.47136491537094116
tagere a chaussures treillis metallique extensible 74 x 30 7 x 104 cm lmr005b,Bureau Rangement,Meuble à chaussures,,"['74 x 30', '104 cm']","[-0.0148746  -0.08406019 -0.00807758 ... -0.04278524  0.01374208
  0.00657912]",0.21255198,0.3474289,False,False,Bureau Rangement,0.21764686703681946,Meuble à chaussures,0.421234130859375
dx drexon radiateur inertie fonte facade verre noir 1000w,Petit Electroménager,Radiateur,['noir'],,"[ 0.02079748  0.02593374  0.03691001 ... -0.00267724  0.00473811
 -0.00440425]",0.14314158,0.5143856,False,False,Petit Electroménager,0.19540318846702576,Radiateur,0.5143855810165405
po tous feux compris induction 26 cm,Décoration Textile,Poele,,['26 cm'],"[ 0.03177532  0.05662633 -0.01536345 ... -0.00480461  0.02441098
  0.0438963 ]",0.06390134,0.5235868,False,False,Décoration Textile,0.23645754158496857,Poele,0.5661741495132446
bureau angle design contemporain bibliotheque integree panneaux particules noir alliage alu,Bureau Rangement,Bureau,['noir'],,"[-0.00830831  0.0201423   0.03552044 ...  0.02157154  0.00871227
 -0.00934564]",0.42598045,0.4498914,False,False,Bureau Rangement,0.42598044872283936,Bureau,0.5293493270874023
matelas sommier gris 140x200 memo zen mousse a memoire forme 5 zones confort maxi epaisseur,Chambre Literie,Matelas + sommier,['gris'],['140x200'],"[-0.0073635   0.01194541  0.02979773 ... -0.02313075 -0.01105941
 -0.00439108]",0.40001523,0.5096408,False,False,Chambre Literie,0.4000152349472046,Matelas + sommier,0.5096408128738403
abattant wc bleu mdf charnieres metal blue,Cuisine Salle de bain,Abattant wc,['bleu'],,"[ 0.03899802  0.04715595  0.02904665 ...  0.0040348   0.02024977
 -0.01085684]",0.29355994,0.67997694,False,False,Cuisine Salle de bain,0.2935599386692047,Abattant wc,0.6799769401550293
finlandek meuble tv inkeri scandinave mdf blanc laque mat pieds bois massif 80 cm,Canapé Salon Séjour,Meuble tv,['blanc'],['80 cm'],"[ 0.06014737  0.02871618 -0.02399359 ... -0.0030196   0.03318733
 -0.02070805]",0.22191487,0.45842987,False,False,Canapé Salon Séjour,0.2358325868844986,Meuble tv,0.4899284839630127
h koenig boe52 bouilloire programmable 1 7l 2200w,Petit Electroménager,Bouilloire,,,"[ 0.02272765  0.0543289   0.01290027 ...  0.00030457  0.01441835
 -0.00818115]",0.23556396,0.52994514,False,False,Petit Electroménager,0.27629074454307556,Bouilloire,0.5299451351165771
canape angle oslo convertible coffre poufs tissu simili position rangement poufs droit,Petit Electroménager,Friteuse,,,"[ 0.02243267  0.04324581  0.02540164 ...  0.0235643   0.02782938
 -0.02177978]",0.116210215,0.062779546,False,True,Petit Electroménager,0.5161949992179871,Canapé d'angle,0.6547576189041138
furnix meuble tv suspendu kelet 160 cm ch wotan led rgb,Canapé Salon Séjour,Meuble tv,,['160 cm'],"[ 0.04068126  0.05424591  0.01197614 ... -0.01482243 -0.00663539
 -0.02310194]",0.24283466,0.49214646,False,False,Canapé Salon Séjour,0.2585151195526123,Meuble tv,0.5363366007804871
table console elementary 225,Canapé Salon Séjour,Console,,,[0.05951862 0.01892528 0.00766217 ... 0.04438169 0.00480262 0.01639286],0.21532623,0.54002595,False,False,Canapé Salon Séjour,0.27094367146492004,Console,0.5400259494781494
tabouret bar gris tiffany gris,Canapé Salon Séjour,Tabouret,['gris'],,"[-0.0146478  -0.04172571  0.05460351 ...  0.02158318  0.0162695
  0.02106229]",0.21655516,0.5190548,False,False,Canapé Salon Séjour,0.3024497628211975,Tabouret,0.5190547704696655
sommier tapissier 80x200 fabrique france pieds,Chambre Literie,Sommier,,['80x200'],"[ 0.02779236 -0.00661527 -0.02659619 ... -0.01352456  0.00678069
 -0.02548345]",0.37206358,0.42000836,False,False,Chambre Literie,0.3720635771751404,Sommier,0.5260526537895203
spot simple orientable metal cuivre diametre 8 5cm lava,Décoration Textile,Applique,,['5cm'],"[ 0.03362582  0.00819536  0.02042151 ...  0.01407005 -0.02562949
  0.03832696]",0.09828118,0.21173649,False,False,Décoration Textile,0.15214167535305023,Applique,0.4750574231147766
coussin fausse fourrure chambord ecru 50x50,Décoration Textile,Coussin,,['50x50'],"[ 0.01377193  0.02627393  0.01841927 ...  0.00767389  0.04112098
 -0.02385625]",0.27544224,0.44456327,False,False,Décoration Textile,0.2772669792175293,Coussin,0.4685710072517395
paris prix tapis deco primobis 50x120cm rouge,Décoration Textile,Tapis de cuisine,['rouge'],['50x120cm'],"[ 0.02979311 -0.07387421  0.03034644 ...  0.01416837 -0.00926393
  0.0519273 ]",0.30010363,0.34494177,False,False,Décoration Textile,0.30010363459587097,Tapis de cuisine,0.4057590663433075
guirlande lumineuse gris rose bleu 10 boules led a piles,Décoration Textile,Objets lumineux,"['rose', 'bleu', 'gris']",,[0.03601923 0.00191062 0.00723386 ... 0.03667583 0.01682813 0.03656119],0.10613659,0.4610589,False,False,Décoration Textile,0.1183634102344513,Objets lumineux,0.49370482563972473
voilage lily 140 x 240 cm blanc,Décoration Textile,Voilage,['blanc'],"['140 x 240 cm', '240 cm']","[-0.0196524  -0.01961699  0.00124827 ... -0.03717719  0.01528244
 -0.02930564]",0.3545124,0.5655093,False,False,Décoration Textile,0.35451239347457886,Voilage,0.5655093193054199
sommier tapissier 140x200cm noir pieds fabrication francaise,Chambre Literie,Sommier,['noir'],['140x200cm'],"[ 0.01937546 -0.00727959 -0.01746858 ... -0.01782249 -0.00904924
 -0.03883789]",0.40588123,0.4565116,False,False,Chambre Literie,0.40588122606277466,Sommier,0.5524600148200989
matelas 130x190 mousse poli lattex indeformable tissu strech tres resistant hauteur 15 cm soutien tres ferme orthopedique,Chambre Literie,Matelas,,"['130x190', '15 cm']","[ 0.00754434  0.0181998  -0.0097698  ... -0.01155077 -0.02896719
  0.03568442]",0.31127495,0.50836045,False,False,Chambre Literie,0.3112749457359314,Matelas,0.5379621982574463
vidaxl tapis kilim coton 160 x 230 cm motif turquoise,Décoration Textile,Tapis de Salon et Ch,['bleu'],"['160 x 230 cm', '230 cm']","[-0.002257   -0.00897037  0.02031999 ... -0.01546535 -0.0026944
 -0.01445361]",0.3455264,0.4845336,False,False,Décoration Textile,0.34552639722824097,Tapis de Salon et Ch,0.4845336079597473
midi lit enfant gar ons filles 140x70 cm ensemble lit matelas sommier meubles chambre enfant blanc,Enfant Bébé,Lit jeune,['blanc'],['140x70 cm'],"[ 0.00551333 -0.02598406 -0.02079952 ... -0.03174983  0.01153852
 -0.01729336]",0.36850804,0.5336057,False,False,Enfant Bébé,0.4760146141052246,Lit jeune,0.5893958210945129
scd301 03 kit nouveau natural 2 0 rose,Enfant Bébé,Biberon,['rose'],,"[ 0.04237982 -0.01459834  0.03753475 ...  0.00498717 -0.0354013
  0.00858016]",0.17343032,0.26707834,False,False,Enfant Bébé,0.21239474415779114,Biberon,0.3750542104244232
moto electrique 20w rouge enfant 90l x 42l x 58h cm roulettes soutien marche av ar phares fonctionnels bruitages,Enfant Bébé,Véhicule élec enfant,['rouge'],,"[-0.02223456 -0.00693537 -0.07103696 ...  0.03653393 -0.02373821
  0.02059307]",0.019305335,0.42011464,True,False,Enfant Bébé,0.0585981160402298,Véhicule élec enfant,0.4201146364212036
klarfit vibe 3dx pro plateforme vibrante entra nement musculation telecommande 2x 200w blanc,Jardin Loisirs Sport,Plateforme vibrante,['blanc'],,"[ 0.0359918   0.0120529   0.01517731 ... -0.01098174 -0.02141363
  0.01514924]",0.10675463,0.56251425,False,False,Jardin Loisirs Sport,0.1564343273639679,Plateforme vibrante,0.5625142455101013
etagere a chaussures dublin rangement porte chaussures 4 niveaux 14 paires metal chrome laque blanc,Bureau Rangement,Meuble à chaussures,"['argenté', 'blanc']",,"[-0.0145768  -0.00467304  0.01564086 ... -0.01214198 -0.00188586
  0.01759548]",0.38100082,0.5425607,False,False,Bureau Rangement,0.381000816822052,Meuble à chaussures,0.5540235042572021
table appoint table basse tiroir table chevet armature fer rigide let04bx,Canapé Salon Séjour,Table basse,,,"[ 0.04179949  0.03924399  0.02395198 ...  0.03333286 -0.00685785
 -0.00482773]",0.24079028,0.5734894,False,False,Canapé Salon Séjour,0.4103255271911621,Table basse,0.5973407030105591
tirelire abeille,Décoration Textile,Objet deco,,,"[ 0.00018935  0.03292485 -0.01638667 ...  0.04715707  0.03025667
 -0.014558  ]",0.22060439,0.20116907,False,False,Décoration Textile,0.22060438990592957,Objet deco,0.41806188225746155
meuble sous lavabo salle bain 2 portes bambou sicela,Cuisine Salle de bain,Element bas SDB,,,"[ 0.02375645  0.01163474  0.01248108 ...  0.02293294 -0.00752307
  0.00270254]",0.5283848,0.45919168,False,False,Cuisine Salle de bain,0.528384804725647,Element bas SDB,0.4978261888027191
vidaxl chaises bureau roulantes 2 pcs tissu gris fonce,Bureau Rangement,Chaise de bureau,['gris'],,"[ 0.02051439 -0.00282491  0.03963435 ...  0.03296688  0.05446929
 -0.01663945]",0.33766225,0.56254196,False,False,Bureau Rangement,0.3376622498035431,Chaise de bureau,0.5625419616699219
vidaxl table salle a manger blanc 120 x 75 cm mdf,Canapé Salon Séjour,Table,['blanc'],"['120 x 75 cm', '75 cm']","[ 0.04028079  0.02496967  0.00728793 ... -0.01410987  0.00564511
  0.02547306]",0.16803949,0.39101592,False,False,Canapé Salon Séjour,0.2810628116130829,Table,0.44625067710876465
parure couette today 240x260 cm 100 coton 57 fils sunshine 2 46,Décoration Textile,Housse de couette,,['240x260 cm'],"[ 0.02289523  0.0299558  -0.0007632  ...  0.00344809  0.0385856
 -0.04762896]",0.35815424,0.54023707,False,False,Décoration Textile,0.3581542372703552,Housse de couette,0.5540568828582764
amenagement dressing extensible ch ara 168 x 50 x h 187 cm,Chambre Literie,Armoire,,"['168 x 50', '187 cm']","[ 0.00120561 -0.0151602   0.01393627 ... -0.02390352  0.00226776
  0.0149292 ]",0.31232572,0.44795257,False,False,Chambre Literie,0.364223837852478,Armoire,0.5120399594306946
sommier coffre rangement room blanc 140x190,Chambre Literie,Sommier,['blanc'],['140x190'],"[ 0.02758111  0.00672555  0.02876102 ... -0.02761725 -0.02568787
 -0.05039569]",0.48881185,0.39189225,False,False,Chambre Literie,0.4888118505477905,Sommier,0.5420750379562378
lampes distingue couleur vert lampe lave magma innovagoods,Décoration Textile,Lampe,['vert'],,"[ 0.03358938  0.05253706  0.0001008  ...  0.00309621 -0.07711541
  0.00839872]",0.09224396,0.4399355,False,False,Décoration Textile,0.19450655579566956,Lampe,0.43993550539016724
4 pieds cylindriques bois taupe 25 cm,Chambre Literie,Jeu de pied,['beige'],['25 cm'],"[ 0.0373024   0.00255192  0.03366797 ... -0.02139037 -0.00070412
 -0.01465547]",0.1744828,0.20621231,False,False,Chambre Literie,0.22956934571266174,Jeu de pied,0.4557763338088989
kit cadre a lattes morphologique 3 zones confort 180 x 200 cm,Chambre Literie,Sommier,,"['180 x 200 cm', '200 cm']","[ 0.03314492 -0.00780351  0.00970637 ... -0.01434727  0.02675483
  0.0060075 ]",0.26499146,0.2034696,False,False,Chambre Literie,0.3553653359413147,Sommier,0.6528235673904419
housse coussin 40 x 40 cm effet velours dehoussable chocolat,Décoration Textile,Housse de coussin,['marron'],"['40 x 40 cm', '40 cm']","[-0.0033313   0.01562013 -0.01939814 ... -0.00756955  0.02663653
 -0.03879361]",0.345121,0.7135087,False,False,Décoration Textile,0.4118163287639618,Housse de coussin,0.7135087251663208
benessere 2 transats textilene multi positions,Jardin Loisirs Sport,Bain de soleil,,,"[-0.02717639  0.05257602 -0.01076496 ... -0.0124799   0.01456538
 -0.00693557]",0.13842838,0.21351105,False,False,Jardin Loisirs Sport,0.23047560453414917,Bain de soleil,0.5703862905502319
vidaxl fauteuil inclinable repose pied creme tissu,Canapé Salon Séjour,Fauteuil relax,,,[0.04434837 0.02375337 0.02313706 ... 0.0306271  0.04610886 0.03417031],0.38048795,0.6429918,False,False,Canapé Salon Séjour,0.38048794865608215,Fauteuil relax,0.6429917812347412
fauteuil velours evan bleu canard,Canapé Salon Séjour,Fauteuil,['bleu'],,"[ 0.01688821  0.0273406   0.00516091 ...  0.02594995  0.02852642
 -0.05404441]",0.29711866,0.40828472,False,False,Canapé Salon Séjour,0.2971186637878418,Fauteuil,0.4404182434082031
cafetiere filtre 15 tasses 950w rouge dod166r,Petit Electroménager,Cafetière filtre,['rouge'],,"[ 0.03994314 -0.00445791  0.03584075 ...  0.02411516  0.02229755
 -0.02272219]",0.09400663,0.5342252,False,False,Petit Electroménager,0.20896901190280914,Cafetière filtre,0.5342252254486084
lit metal cerrada blanc 120x190 cm,Chambre Literie,Lit adulte,['blanc'],['120x190 cm'],"[ 0.02348374  0.00294651 -0.01591003 ... -0.03574297 -0.01464009
  0.01006708]",0.3366999,0.42977694,False,False,Chambre Literie,0.336699903011322,Lit adulte,0.44969820976257324
ensemble meuble sous vasque vasque resine milano blanc,Cuisine Salle de bain,Ensemble sdb,['blanc'],,"[ 0.00261068  0.0108499   0.0331407  ...  0.01437479 -0.01059746
 -0.02800363]",0.50569606,0.55034226,False,False,Cuisine Salle de bain,0.5056960582733154,Ensemble sdb,0.6683767437934875
serre jardin polycarbonate hortensia 6m,Jardin Loisirs Sport,Serre de jardin,,['6m'],"[ 0.02850916  0.00827687 -0.01938406 ...  0.01999113  0.04041803
  0.00842832]",0.2770483,0.6827941,False,False,Jardin Loisirs Sport,0.2770482897758484,Serre de jardin,0.6827940940856934
bureau extensible max bois fa h tre blanc,Bureau Rangement,Bureau,['blanc'],,"[ 0.01515561 -0.00303119  0.0333105  ...  0.00498286  0.04132347
 -0.02722163]",0.44039717,0.5305622,False,False,Bureau Rangement,0.440397173166275,Bureau,0.5511796474456787
sommier tapissier 90x200 gris fabrique france pieds offert,Chambre Literie,Sommier,['gris'],['90x200'],"[ 2.2015378e-02 -4.6034686e-05 -1.4755091e-04 ...  6.3056475e-03
  9.4651971e-03 -1.4093695e-02]",0.3910615,0.42000252,False,False,Chambre Literie,0.3910615146160126,Sommier,0.5250431299209595
mobili rebecca armoire multifunctions blanc gris 2 portes 2 tiroirs 70x60x30,Cuisine Salle de bain,Rangement sdb,"['blanc', 'gris']",,"[-0.00064934  0.00442378  0.02042214 ... -0.00924714 -0.00470635
  0.00371381]",0.2799884,0.4609146,False,False,Cuisine Salle de bain,0.3843458294868469,Rangement sdb,0.4634513258934021
deguisement homme berger costume cher adulte,Enfant Bébé,Accessoire déguisem,,,"[-0.0510809   0.02819868 -0.00592477 ... -0.03192109 -0.00893456
 -0.00425996]",0.11173818,0.15970379,False,True,Enfant Bébé,0.21256786584854126,Déguisement,0.4785197079181671
atmosphera veilleuse led ourson,Enfant Bébé,Veilleuse,,,"[-0.00890433  0.021559    0.00047945 ... -0.02489761 -0.00182198
 -0.02107762]",0.06432258,0.5733292,False,False,Enfant Bébé,0.12778377532958984,Veilleuse,0.5733292102813721
ensemble matelas actimemo life 160x200 memoire forme 5zones confort sommier kit blanc,Chambre Literie,Matelas + sommier,['blanc'],['160x200'],"[ 0.00928684  0.02655331  0.01205179 ... -0.00562126  0.00309108
 -0.02713677]",0.38510838,0.580949,False,False,Chambre Literie,0.3851083815097809,Matelas + sommier,0.5809490084648132
lit coffre adulte contemporain pu noir coralie coloris dimensions 160 x 200 cm160x200 180x200 cm,Chambre Literie,Lit adulte,['noir'],"['160 x 200', '180x200 cm']","[ 0.02381737 -0.006302    0.01938218 ... -0.02590359 -0.01565365
  0.0147203 ]",0.37513524,0.5312865,False,False,Chambre Literie,0.37513524293899536,Lit adulte,0.5312864780426025
olaf canape scandinave 3 places gris anthracite,Canapé Salon Séjour,Canape droit,['gris'],,"[-0.00277833  0.02462761 -0.00803897 ...  0.02617083  0.04852121
 -0.0013112 ]",0.43815303,0.45467442,False,False,Canapé Salon Séjour,0.4381530284881592,Canape droit,0.4956887364387512
chaise haute,Canapé Salon Séjour,Tabouret,,,"[ 0.03615539 -0.00237304 -0.01794314 ...  0.02021035  0.01457512
 -0.00829587]",0.28747663,0.49829608,False,False,Canapé Salon Séjour,0.28747662901878357,Tabouret,0.7633521556854248
plat rond verre couvercle pyrex,Décoration Textile,Plat a cuire,,,"[-0.01434323 -0.02644755  0.01811841 ... -0.0079078   0.02207009
  0.02375188]",0.14989646,0.29252705,False,False,Décoration Textile,0.225589320063591,Plat a cuire,0.42440879344940186
magnus lot 2 tabourets acier tissu jaune moutarde,Canapé Salon Séjour,Tabouret,"['jaune', 'gris']",,"[-0.02796174  0.00421048 -0.00313486 ...  0.01000946 -0.01893468
  0.02112575]",0.17991705,0.47599307,False,False,Canapé Salon Séjour,0.18569761514663696,Tabouret,0.4759930670261383
parure 3 p 260 x 240 cm imp metallise 57 fils allover domea gris argent,Décoration Textile,Housse de couette,"['argenté', 'gris']","['260 x 240 cm', '240 cm']","[ 0.01561185 -0.02411048 -0.00114582 ... -0.03086384  0.04952592
 -0.00552877]",0.22828257,0.22821791,False,False,Décoration Textile,0.22828257083892822,Housse de couette,0.3859250545501709
coque transparente xiaomi redmi 9c,TV Son Multimédia,Acc telephonie,,,"[ 0.00386225  0.05659219  0.00560453 ...  0.02901736  0.02728612
 -0.01028557]",0.09855207,0.17827761,False,False,TV Son Multimédia,0.14491774141788483,Acc telephonie,0.28582441806793213
abattant wc,Cuisine Salle de bain,Abattant wc,,,"[ 0.0195022   0.02471387  0.01045442 ... -0.03319449  0.02760294
 -0.0348098 ]",0.26220846,0.9305112,False,False,Cuisine Salle de bain,0.2622084617614746,Abattant wc,0.9305111765861511
table convertible billard americain harmony 6ft 206 5 x 116 5 x 80 cm accessoires plateau natoire couleur ch,Canapé Salon Séjour,Table,,['80 cm'],"[ 0.01763903 -0.01276019 -0.01641557 ... -0.02075917  0.03629933
  0.04299751]",0.27774537,0.24788494,False,False,Canapé Salon Séjour,0.2777453660964966,Table,0.4195399284362793
table appoint design metal kobu 36cm gris,Canapé Salon Séjour,Table,['gris'],['36cm'],[0.02192879 0.03676154 0.06431528 ... 0.0144207  0.03287697 0.01064527],0.14506972,0.3710037,False,False,Canapé Salon Séjour,0.26362890005111694,Table,0.45461583137512207
cylin chaise bureau gaming simili cuir tissu respirant hauteur reglable 103 113 cm fauteuil pivotant noir blanc,Bureau Rangement,Chaise de bureau,"['blanc', 'noir']",['113 cm'],"[ 0.00969462 -0.00837633 -0.02172312 ...  0.00866173  0.02099231
  0.00241459]",0.37677985,0.55840504,False,False,Bureau Rangement,0.37677985429763794,Chaise de bureau,0.5584050416946411
lit bebe tola 02 blanc,Enfant Bébé,Lit bébé,['blanc'],,"[ 0.03915071  0.06667318 -0.00339324 ...  0.02583767 -0.00702139
 -0.03410365]",0.3969117,0.6543579,False,False,Enfant Bébé,0.42058324813842773,Lit bébé,0.65435791015625
terreau terrasse balcon 20,Jardin Loisirs Sport,Terreau,,,"[ 0.03680338 -0.02284125  0.00976435 ...  0.03018427  0.03690162
  0.0189015 ]",0.36519653,0.5382178,False,False,Jardin Loisirs Sport,0.3651965260505676,Terreau,0.5382177829742432
coque silicone gel samsung galaxy a21s motif dreamcatcher gris,TV Son Multimédia,Acc telephonie,['gris'],,"[ 0.00523684  0.02597006 -0.03205334 ... -0.00426666  0.00526293
 -0.00773972]",0.012153607,0.20688204,True,False,Cuisine Salle de bain,0.19520005583763123,Acc telephonie,0.32551512122154236
table vitroceramique 2 foyers,Gros Electroménager,Plaque de cuisson,,,"[ 0.05435261  0.03839514 -0.00320108 ...  0.0331494   0.00051115
 -0.01267334]",0.12248718,0.47007072,False,False,Gros Electroménager,0.2452559471130371,Plaque de cuisson,0.4700707197189331
tapis design moderne 160x160 carre cm carre madila rouge salon adapte chauffage sol,Décoration Textile,Tapis de Salon et Ch,['rouge'],['160x160'],"[ 0.06646954 -0.02209976  0.00617686 ...  0.00096385  0.01218934
 -0.01187482]",0.27239218,0.52109593,False,False,Décoration Textile,0.3643929362297058,Tapis de Salon et Ch,0.5210959315299988
my lovely bed renove matelas 180x200 cm housse complete matelas,Chambre Literie,Protege matelas,,['180x200 cm'],"[ 0.01785026  0.02367103  0.04302405 ...  0.01424566 -0.00751446
  0.01134384]",0.47020924,0.54590625,False,False,Chambre Literie,0.4702092409133911,Protege matelas,0.5733189582824707
poubelle a trappe 45l vintage,Cuisine Salle de bain,Poubelle sdb,,,"[-0.00680019  0.07328938  0.04737396 ... -0.014289   -0.00446324
 -0.01891594]",0.17017356,0.48477325,False,False,Cuisine Salle de bain,0.2268102765083313,Poubelle sdb,0.4847732484340668
